# Intensity Error [-0.333H,0.167H,0] DeltaE
#  shape: 20x70
8.659158e-02 4.999379e-02 2.250000e-01 6.500000e-01
1.211002e-01 6.055016e-02 2.250000e-01 7.500000e-01
1.447698e-01 6.474321e-02 2.250000e-01 8.500000e-01
1.190220e-01 5.951107e-02 2.250000e-01 9.500000e-01
8.693779e-02 6.476623e-02 2.250000e-01 1.050000e+00
-2.932706e-02 2.932706e-02 2.250000e-01 1.150000e+00
1.439035e-01 6.435585e-02 2.250000e-01 1.250000e+00
8.682766e-02 5.013005e-02 2.250000e-01 1.350000e+00
5.696919e-02 4.028341e-02 2.250000e-01 1.450000e+00
8.576004e-02 4.951363e-02 2.250000e-01 1.550000e+00
1.688467e-01 6.893162e-02 2.250000e-01 1.650000e+00
2.799809e-01 8.853808e-02 2.250000e-01 1.750000e+00
4.197976e-01 1.083915e-01 2.250000e-01 1.850000e+00
7.655627e-01 1.446781e-01 2.250000e-01 1.950000e+00
7.700782e-01 1.455316e-01 2.250000e-01 2.050000e+00
7.250402e-01 1.395345e-01 2.250000e-01 2.150000e+00
3.773831e-01 1.143410e-01 2.250000e-01 2.250000e+00
2.369915e-01 1.148793e-01 2.250000e-01 2.350000e+00
2.378504e-01 1.023005e-01 2.250000e-01 2.450000e+00
7.756641e-02 1.349862e-01 2.250000e-01 2.550000e+00
3.105038e-01 1.097859e-01 2.250000e-01 2.650000e+00
3.098438e-01 1.095318e-01 2.250000e-01 2.750000e+00
4.689978e-01 1.234007e-01 2.250000e-01 2.850000e+00
4.492584e-01 1.083665e-01 2.250000e-01 2.950000e+00
3.699358e-01 1.088809e-01 2.250000e-01 3.050000e+00
5.824703e-01 1.317405e-01 2.250000e-01 3.150000e+00
3.940591e-01 1.109743e-01 2.250000e-01 3.250000e+00
5.720546e-01 1.130557e-01 2.250000e-01 3.350000e+00
4.873055e-01 1.180852e-01 2.250000e-01 3.450000e+00
6.821276e-01 1.156267e-01 2.250000e-01 3.550000e+00
8.359807e-01 1.280684e-01 2.250000e-01 3.650000e+00
5.648323e-01 1.130902e-01 2.250000e-01 3.750000e+00
4.164131e-01 8.917524e-02 2.250000e-01 3.850000e+00
4.793502e-01 8.695717e-02 2.250000e-01 3.950000e+00
4.174797e-01 7.826399e-02 2.250000e-01 4.050000e+00
4.097109e-01 8.024876e-02 2.250000e-01 4.150000e+00
3.406530e-01 6.919135e-02 2.250000e-01 4.250000e+00
2.720957e-01 5.967945e-02 2.250000e-01 4.350000e+00
1.573079e-01 5.734673e-02 2.250000e-01 4.450000e+00
1.547405e-01 6.330544e-02 2.250000e-01 4.550000e+00
1.536682e-01 6.131466e-02 2.250000e-01 4.650000e+00
3.889815e-01 8.697947e-02 2.250000e-01 4.750000e+00
