# Intensity Error [-0.667H,0.333H,0] DeltaE
#  shape: 34x70
4.257037e-01 1.346194e-01 4.383300e-01 4.500000e-01
3.433074e-01 1.357841e-01 4.383300e-01 5.500000e-01
3.027253e-01 1.144196e-01 4.383300e-01 6.500000e-01
8.451729e-02 5.976276e-02 4.383300e-01 7.500000e-01
0.000000e+00 0.000000e+00 4.383300e-01 8.500000e-01
4.205543e-02 4.205543e-02 4.383300e-01 9.500000e-01
1.721381e-01 1.218756e-01 4.383300e-01 1.050000e+00
8.452686e-02 5.976964e-02 4.383300e-01 1.150000e+00
0.000000e+00 0.000000e+00 4.383300e-01 1.250000e+00
1.280960e-01 7.395649e-02 4.383300e-01 1.350000e+00
8.266566e-02 5.845346e-02 4.383300e-01 1.450000e+00
1.711109e-01 8.555563e-02 4.383300e-01 1.550000e+00
4.089156e-02 4.089156e-02 4.383300e-01 1.650000e+00
4.248903e-02 4.248903e-02 4.383300e-01 1.750000e+00
8.054188e-02 8.089143e-02 4.383300e-01 1.850000e+00
8.283639e-02 5.857429e-02 4.383300e-01 1.950000e+00
-1.595577e-01 9.777193e-02 4.383300e-01 2.050000e+00
4.069098e-02 9.044686e-02 4.383300e-01 2.150000e+00
0.000000e+00 0.000000e+00 4.383300e-01 2.250000e+00
1.187431e-01 6.855647e-02 4.383300e-01 2.350000e+00
7.584976e-02 5.363389e-02 4.383300e-01 2.450000e+00
1.996420e-04 5.521857e-02 4.383300e-01 2.550000e+00
1.097948e-01 8.200932e-02 4.383300e-01 2.650000e+00
3.823948e-02 8.527278e-02 4.383300e-01 2.750000e+00
1.444986e-01 7.224979e-02 4.383300e-01 2.850000e+00
1.097614e-01 9.650687e-02 4.383300e-01 2.950000e+00
1.076743e-01 8.028393e-02 4.383300e-01 3.050000e+00
3.581495e-02 7.936198e-02 4.383300e-01 3.150000e+00
-1.673597e-04 8.660467e-02 4.383300e-01 3.250000e+00
1.400842e-04 4.896686e-02 4.383300e-01 3.350000e+00
2.634232e-04 6.982474e-02 4.383300e-01 3.450000e+00
1.329049e-01 6.645264e-02 4.383300e-01 3.550000e+00
6.634499e-02 8.111343e-02 4.383300e-01 3.650000e+00
1.648303e-01 8.704497e-02 4.383300e-01 3.750000e+00
1.616121e-01 9.672902e-02 4.383300e-01 3.850000e+00
1.279519e-01 6.397604e-02 4.383300e-01 3.950000e+00
9.161774e-02 6.818465e-02 4.383300e-01 4.050000e+00
2.041566e-01 8.744028e-02 4.383300e-01 4.150000e+00
1.127631e-01 6.891521e-02 4.383300e-01 4.250000e+00
7.974489e-02 8.005644e-02 4.383300e-01 4.350000e+00
2.270802e-01 8.378268e-02 4.383300e-01 4.450000e+00
2.092691e-01 9.800675e-02 4.383300e-01 4.550000e+00
2.970885e-02 8.006389e-02 4.383300e-01 4.650000e+00
5.988890e-04 8.756456e-02 4.383300e-01 4.750000e+00
1.761296e-01 1.074356e-01 4.383300e-01 4.850000e+00
2.373026e-01 1.186533e-01 4.383300e-01 4.950000e+00
-9.974148e-02 1.739700e-01 4.383300e-01 5.050000e+00
4.258655e-01 4.258655e-01 4.383300e-01 5.150000e+00
nan nan 4.383300e-01 5.250000e+00
nan nan 4.383300e-01 5.350000e+00
nan nan 4.383300e-01 5.450000e+00
nan nan 4.383300e-01 5.550000e+00
nan nan 4.383300e-01 5.650000e+00
nan nan 4.383300e-01 5.750000e+00
nan nan 4.383300e-01 5.850000e+00
nan nan 4.383300e-01 5.950000e+00
nan nan 4.383300e-01 6.050000e+00
nan nan 4.383300e-01 6.150000e+00
nan nan 4.383300e-01 6.250000e+00
nan nan 4.383300e-01 6.350000e+00
nan nan 4.383300e-01 6.450000e+00
nan nan 4.383300e-01 6.550000e+00
nan nan 4.383300e-01 6.650000e+00
nan nan 4.383300e-01 6.750000e+00
nan nan 4.383300e-01 6.850000e+00
nan nan 4.383300e-01 6.950000e+00
2.161506e+01 9.628042e-01 4.683300e-01 5.000000e-02
7.502803e+00 5.754397e-01 4.683300e-01 1.500000e-01
1.858580e+00 2.935771e-01 4.683300e-01 2.500000e-01
6.018741e-01 1.608580e-01 4.683300e-01 3.500000e-01
2.716167e-01 1.108874e-01 4.683300e-01 4.500000e-01
2.139598e-01 1.130675e-01 4.683300e-01 5.500000e-01
2.240109e-01 1.001809e-01 4.683300e-01 6.500000e-01
0.000000e+00 0.000000e+00 4.683300e-01 7.500000e-01
2.668968e-05 6.168880e-02 4.683300e-01 8.500000e-01
4.388100e-02 4.388101e-02 4.683300e-01 9.500000e-01
0.000000e+00 0.000000e+00 4.683300e-01 1.050000e+00
8.891595e-02 6.287317e-02 4.683300e-01 1.150000e+00
4.138553e-02 4.138554e-02 4.683300e-01 1.250000e+00
-1.050374e-04 6.284228e-02 4.683300e-01 1.350000e+00
-4.123687e-02 4.123687e-02 4.683300e-01 1.450000e+00
4.374834e-02 7.572220e-02 4.683300e-01 1.550000e+00
8.210525e-02 8.200782e-02 4.683300e-01 1.650000e+00
0.000000e+00 0.000000e+00 4.683300e-01 1.750000e+00
0.000000e+00 0.000000e+00 4.683300e-01 1.850000e+00
0.000000e+00 0.000000e+00 4.683300e-01 1.950000e+00
-2.167345e-04 1.012390e-01 4.683300e-01 2.050000e+00
8.201239e-02 8.203783e-02 4.683300e-01 2.150000e+00
-8.285006e-02 5.858399e-02 4.683300e-01 2.250000e+00
1.189448e-01 8.876795e-02 4.683300e-01 2.350000e+00
8.151361e-02 5.763892e-02 4.683300e-01 2.450000e+00
1.548025e-01 7.740134e-02 4.683300e-01 2.550000e+00
3.898514e-02 6.820511e-02 4.683300e-01 2.650000e+00
7.682581e-02 5.432406e-02 4.683300e-01 2.750000e+00
1.122464e-01 6.480574e-02 4.683300e-01 2.850000e+00
2.897318e-04 5.346421e-02 4.683300e-01 2.950000e+00
1.444437e-01 8.850730e-02 4.683300e-01 3.050000e+00
4.031057e-04 7.334317e-02 4.683300e-01 3.150000e+00
-7.123672e-02 8.720856e-02 4.683300e-01 3.250000e+00
1.077233e-01 6.219460e-02 4.683300e-01 3.350000e+00
6.870702e-02 4.858324e-02 4.683300e-01 3.450000e+00
1.044779e-01 6.032039e-02 4.683300e-01 3.550000e+00
1.025888e-01 5.922975e-02 4.683300e-01 3.650000e+00
1.990646e-01 8.126812e-02 4.683300e-01 3.750000e+00
6.664338e-02 4.712401e-02 4.683300e-01 3.850000e+00
