# Intensity Error [-0.167K,0.333K,0] DeltaE
#  shape: 20x70
1.078349e-01 6.228794e-02 2.125000e+00 4.750000e+00
9.785438e-02 7.085802e-02 2.125000e+00 4.850000e+00
-4.341843e-02 5.325032e-02 2.125000e+00 4.950000e+00
6.504825e-02 9.209776e-02 2.125000e+00 5.050000e+00
-8.166781e-02 1.826982e-01 2.125000e+00 5.150000e+00
-1.419728e+00 1.419728e+00 2.125000e+00 5.250000e+00
nan nan 2.125000e+00 5.350000e+00
nan nan 2.125000e+00 5.450000e+00
nan nan 2.125000e+00 5.550000e+00
nan nan 2.125000e+00 5.650000e+00
nan nan 2.125000e+00 5.750000e+00
nan nan 2.125000e+00 5.850000e+00
nan nan 2.125000e+00 5.950000e+00
nan nan 2.125000e+00 6.050000e+00
nan nan 2.125000e+00 6.150000e+00
nan nan 2.125000e+00 6.250000e+00
nan nan 2.125000e+00 6.350000e+00
nan nan 2.125000e+00 6.450000e+00
nan nan 2.125000e+00 6.550000e+00
nan nan 2.125000e+00 6.650000e+00
nan nan 2.125000e+00 6.750000e+00
nan nan 2.125000e+00 6.850000e+00
nan nan 2.125000e+00 6.950000e+00
2.555050e+01 9.705849e-01 2.175000e+00 5.000000e-02
7.343379e+00 5.166233e-01 2.175000e+00 1.500000e-01
1.278515e+00 2.378829e-01 2.175000e+00 2.500000e-01
7.479621e-01 1.708619e-01 2.175000e+00 3.500000e-01
2.582541e-01 1.108073e-01 2.175000e+00 4.500000e-01
2.165437e-01 8.840381e-02 2.175000e+00 5.500000e-01
2.129378e-01 8.693160e-02 2.175000e+00 6.500000e-01
-1.072182e-01 7.976123e-02 2.175000e+00 7.500000e-01
-3.364307e-02 5.829625e-02 2.175000e+00 8.500000e-01
2.006070e-01 9.455177e-02 2.175000e+00 9.500000e-01
1.581950e-01 8.377772e-02 2.175000e+00 1.050000e+00
-3.556344e-05 4.427976e-02 2.175000e+00 1.150000e+00
1.511068e-01 6.757724e-02 2.175000e+00 1.250000e+00
5.851838e-02 5.850839e-02 2.175000e+00 1.350000e+00
5.767667e-02 5.757061e-02 2.175000e+00 1.450000e+00
1.373637e-01 6.143111e-02 2.175000e+00 1.550000e+00
5.464484e-02 6.680746e-02 2.175000e+00 1.650000e+00
1.332264e-01 5.958075e-02 2.175000e+00 1.750000e+00
1.057227e-01 6.469504e-02 2.175000e+00 1.850000e+00
7.923076e-02 5.901342e-02 2.175000e+00 1.950000e+00
5.240908e-02 5.237121e-02 2.175000e+00 2.050000e+00
0.000000e+00 0.000000e+00 2.175000e+00 2.150000e+00
1.025023e-01 5.125130e-02 2.175000e+00 2.250000e+00
5.130612e-02 5.124327e-02 2.175000e+00 2.350000e+00
-5.166822e-02 5.149608e-02 2.175000e+00 2.450000e+00
-5.115065e-02 5.115506e-02 2.175000e+00 2.550000e+00
4.986722e-02 7.059933e-02 2.175000e+00 2.650000e+00
4.946124e-02 7.031454e-02 2.175000e+00 2.750000e+00
-1.392842e-05 3.561665e-02 2.175000e+00 2.850000e+00
2.494648e-02 6.614898e-02 2.175000e+00 2.950000e+00
1.276017e-01 9.191425e-02 2.175000e+00 3.050000e+00
1.793965e-01 7.690988e-02 2.175000e+00 3.150000e+00
1.045580e-01 7.381597e-02 2.175000e+00 3.250000e+00
2.346903e-01 7.823050e-02 2.175000e+00 3.350000e+00
3.647562e-01 1.221401e-01 2.175000e+00 3.450000e+00
3.865491e-01 1.180084e-01 2.175000e+00 3.550000e+00
4.811770e-01 1.160418e-01 2.175000e+00 3.650000e+00
3.127226e-01 9.909785e-02 2.175000e+00 3.750000e+00
9.083549e-02 7.832869e-02 2.175000e+00 3.850000e+00
6.555782e-02 4.880350e-02 2.175000e+00 3.950000e+00
1.108721e-01 4.958360e-02 2.175000e+00 4.050000e+00
6.753728e-02 5.988496e-02 2.175000e+00 4.150000e+00
1.593858e-01 8.816075e-02 2.175000e+00 4.250000e+00
4.436439e-02 4.427126e-02 2.175000e+00 4.350000e+00
6.040414e-02 6.081310e-02 2.175000e+00 4.450000e+00
1.976929e-02 6.529168e-02 2.175000e+00 4.550000e+00
3.907613e-02 7.912459e-02 2.175000e+00 4.650000e+00
-1.855016e-02 8.618768e-02 2.175000e+00 4.750000e+00
-1.826448e-02 7.818458e-02 2.175000e+00 4.850000e+00
1.227301e-01 8.691992e-02 2.175000e+00 4.950000e+00
2.483143e-02 6.542535e-02 2.175000e+00 5.050000e+00
3.845206e-02 6.569729e-02 2.175000e+00 5.150000e+00
2.463392e-01 1.741886e-01 2.175000e+00 5.250000e+00
6.739656e+00 6.739657e+00 2.175000e+00 5.350000e+00
nan nan 2.175000e+00 5.450000e+00
nan nan 2.175000e+00 5.550000e+00
nan nan 2.175000e+00 5.650000e+00
nan nan 2.175000e+00 5.750000e+00
nan nan 2.175000e+00 5.850000e+00
nan nan 2.175000e+00 5.950000e+00
nan nan 2.175000e+00 6.050000e+00
nan nan 2.175000e+00 6.150000e+00
nan nan 2.175000e+00 6.250000e+00
nan nan 2.175000e+00 6.350000e+00
nan nan 2.175000e+00 6.450000e+00
nan nan 2.175000e+00 6.550000e+00
nan nan 2.175000e+00 6.650000e+00
nan nan 2.175000e+00 6.750000e+00
nan nan 2.175000e+00 6.850000e+00
nan nan 2.175000e+00 6.950000e+00
2.590770e+01 9.792189e-01 2.225000e+00 5.000000e-02
7.106768e+00 5.236956e-01 2.225000e+00 1.500000e-01
1.751929e+00 2.693378e-01 2.225000e+00 2.500000e-01
5.825380e-01 1.456347e-01 2.225000e+00 3.500000e-01
2.314914e-01 1.219259e-01 2.225000e+00 4.500000e-01
3.647327e-01 1.262909e-01 2.225000e+00 5.500000e-01
4.840913e-01 1.534941e-01 2.225000e+00 6.500000e-01
1.671913e-05 9.179298e-02 2.225000e+00 7.500000e-01
-3.687235e-02 8.197203e-02 2.225000e+00 8.500000e-01
2.488095e-05 1.030644e-01 2.225000e+00 9.500000e-01
1.037338e-01 5.989086e-02 2.225000e+00 1.050000e+00
2.064712e-01 8.429162e-02 2.225000e+00 1.150000e+00
3.324895e-02 3.324895e-02 2.225000e+00 1.250000e+00
0.000000e+00 0.000000e+00 2.225000e+00 1.350000e+00
6.561731e-02 7.990606e-02 2.225000e+00 1.450000e+00
7.054265e-06 4.467471e-02 2.225000e+00 1.550000e+00
-6.286907e-02 4.445515e-02 2.225000e+00 1.650000e+00
2.160090e-01 8.164405e-02 2.225000e+00 1.750000e+00
1.311055e-04 6.161285e-02 2.225000e+00 1.850000e+00
-3.071885e-02 5.317263e-02 2.225000e+00 1.950000e+00
9.147147e-02 6.819611e-02 2.225000e+00 2.050000e+00
6.042281e-02 4.272556e-02 2.225000e+00 2.150000e+00
-2.941677e-02 5.113446e-02 2.225000e+00 2.250000e+00
-1.145875e-01 8.122871e-02 2.225000e+00 2.350000e+00
-5.654410e-02 5.645710e-02 2.225000e+00 2.450000e+00
-5.621440e-02 6.866267e-02 2.225000e+00 2.550000e+00
2.782428e-02 2.782428e-02 2.225000e+00 2.650000e+00
2.683541e-02 4.675101e-02 2.225000e+00 2.750000e+00
1.043405e-01 6.375824e-02 2.225000e+00 2.850000e+00
2.555098e-02 4.448843e-02 2.225000e+00 2.950000e+00
9.963494e-02 7.863730e-02 2.225000e+00 3.050000e+00
1.998481e-01 7.900328e-02 2.225000e+00 3.150000e+00
1.038316e-04 5.999238e-02 2.225000e+00 3.250000e+00
2.491060e-02 8.857651e-02 2.225000e+00 3.350000e+00
3.953373e-01 1.105461e-01 2.225000e+00 3.450000e+00
5.039803e-01 1.126942e-01 2.225000e+00 3.550000e+00
2.552768e-01 8.072607e-02 2.225000e+00 3.650000e+00
1.275043e-01 8.468664e-02 2.225000e+00 3.750000e+00
1.027257e-01 8.134513e-02 2.225000e+00 3.850000e+00
3.275252e-01 9.083990e-02 2.225000e+00 3.950000e+00
7.379196e-05 7.485697e-02 2.225000e+00 4.050000e+00
1.538437e-01 6.593989e-02 2.225000e+00 4.150000e+00
4.479486e-02 6.262818e-02 2.225000e+00 4.250000e+00
8.998929e-02 7.120126e-02 2.225000e+00 4.350000e+00
9.104431e-02 5.576022e-02 2.225000e+00 4.450000e+00
1.311662e-01 7.554173e-02 2.225000e+00 4.550000e+00
9.976322e-02 7.713286e-02 2.225000e+00 4.650000e+00
9.887177e-02 7.106317e-02 2.225000e+00 4.750000e+00
1.912322e-02 6.459326e-02 2.225000e+00 4.850000e+00
7.250988e-02 8.164003e-02 2.225000e+00 4.950000e+00
1.521051e-01 8.336404e-02 2.225000e+00 5.050000e+00
1.147509e-01 9.048208e-02 2.225000e+00 5.150000e+00
-1.127339e-04 9.357390e-02 2.225000e+00 5.250000e+00
6.785335e-01 3.917543e-01 2.225000e+00 5.350000e+00
0.000000e+00 0.000000e+00 2.225000e+00 5.450000e+00
nan nan 2.225000e+00 5.550000e+00
nan nan 2.225000e+00 5.650000e+00
nan nan 2.225000e+00 5.750000e+00
nan nan 2.225000e+00 5.850000e+00
nan nan 2.225000e+00 5.950000e+00
nan nan 2.225000e+00 6.050000e+00
nan nan 2.225000e+00 6.150000e+00
nan nan 2.225000e+00 6.250000e+00
nan nan 2.225000e+00 6.350000e+00
nan nan 2.225000e+00 6.450000e+00
nan nan 2.225000e+00 6.550000e+00
nan nan 2.225000e+00 6.650000e+00
nan nan 2.225000e+00 6.750000e+00
nan nan 2.225000e+00 6.850000e+00
nan nan 2.225000e+00 6.950000e+00
2.485315e+01 9.886068e-01 2.275000e+00 5.000000e-02
6.978852e+00 5.400407e-01 2.275000e+00 1.500000e-01
1.977275e+00 2.913046e-01 2.275000e+00 2.500000e-01
5.097889e-01 1.590230e-01 2.275000e+00 3.500000e-01
3.578391e-01 1.265155e-01 2.275000e+00 4.500000e-01
2.566347e-01 1.351375e-01 2.275000e+00 5.500000e-01
1.303574e-01 7.526188e-02 2.275000e+00 6.500000e-01
1.665126e-01 1.180323e-01 2.275000e+00 7.500000e-01
2.485985e-01 1.014900e-01 2.275000e+00 8.500000e-01
-4.007656e-02 6.942645e-02 2.275000e+00 9.500000e-01
1.146672e-01 8.542672e-02 2.275000e+00 1.050000e+00
-3.806832e-02 8.496959e-02 2.275000e+00 1.150000e+00
-5.909247e-05 5.135914e-02 2.275000e+00 1.250000e+00
-2.759727e-05 7.214687e-02 2.275000e+00 1.350000e+00
6.952316e-02 6.945151e-02 2.275000e+00 1.450000e+00
1.008198e-01 5.820845e-02 2.275000e+00 1.550000e+00
1.315869e-01 6.579352e-02 2.275000e+00 1.650000e+00
-3.218098e-02 9.659809e-02 2.275000e+00 1.750000e+00
6.425399e-02 6.432157e-02 2.275000e+00 1.850000e+00
3.207734e-02 3.207733e-02 2.275000e+00 1.950000e+00
-1.343699e-04 4.526731e-02 2.275000e+00 2.050000e+00
-9.238099e-06 6.372335e-02 2.275000e+00 2.150000e+00
6.365598e-02 4.501163e-02 2.275000e+00 2.250000e+00
-9.467519e-02 5.466100e-02 2.275000e+00 2.350000e+00
1.553278e-01 6.946505e-02 2.275000e+00 2.450000e+00
1.218978e-01 6.094910e-02 2.275000e+00 2.550000e+00
6.049802e-02 6.057808e-02 2.275000e+00 2.650000e+00
-9.054910e-02 6.753120e-02 2.275000e+00 2.750000e+00
3.028657e-02 8.031598e-02 2.275000e+00 2.850000e+00
5.995737e-02 8.456421e-02 2.275000e+00 2.950000e+00
5.905353e-02 4.175738e-02 2.275000e+00 3.050000e+00
2.277216e-01 9.861712e-02 2.275000e+00 3.150000e+00
1.104011e-01 8.718291e-02 2.275000e+00 3.250000e+00
2.393193e-01 9.568409e-02 2.275000e+00 3.350000e+00
2.301318e-01 7.671107e-02 2.275000e+00 3.450000e+00
5.865095e-01 1.246208e-01 2.275000e+00 3.550000e+00
4.848146e-01 1.187307e-01 2.275000e+00 3.650000e+00
2.675670e-01 9.417844e-02 2.275000e+00 3.750000e+00
7.394006e-02 8.169916e-02 2.275000e+00 3.850000e+00
2.268656e-01 9.770437e-02 2.275000e+00 3.950000e+00
1.527553e-01 8.812195e-02 2.275000e+00 4.050000e+00
1.030413e-01 7.276555e-02 2.275000e+00 4.150000e+00
9.685988e-02 7.685040e-02 2.275000e+00 4.250000e+00
1.128898e-01 6.755818e-02 2.275000e+00 4.350000e+00
1.547455e-01 7.338082e-02 2.275000e+00 4.450000e+00
2.278274e-02 5.956997e-02 2.275000e+00 4.550000e+00
2.312833e-02 6.774357e-02 2.275000e+00 4.650000e+00
1.691153e-01 7.335033e-02 2.275000e+00 4.750000e+00
1.777023e-01 7.652654e-02 2.275000e+00 4.850000e+00
5.958338e-02 8.127412e-02 2.275000e+00 4.950000e+00
1.867181e-02 7.405198e-02 2.275000e+00 5.050000e+00
1.828493e-01 8.546085e-02 2.275000e+00 5.150000e+00
1.352179e-01 1.160434e-01 2.275000e+00 5.250000e+00
-2.895949e-04 1.240611e-01 2.275000e+00 5.350000e+00
-1.069988e+00 7.565964e-01 2.275000e+00 5.450000e+00
nan nan 2.275000e+00 5.550000e+00
nan nan 2.275000e+00 5.650000e+00
nan nan 2.275000e+00 5.750000e+00
nan nan 2.275000e+00 5.850000e+00
nan nan 2.275000e+00 5.950000e+00
nan nan 2.275000e+00 6.050000e+00
nan nan 2.275000e+00 6.150000e+00
nan nan 2.275000e+00 6.250000e+00
nan nan 2.275000e+00 6.350000e+00
nan nan 2.275000e+00 6.450000e+00
nan nan 2.275000e+00 6.550000e+00
nan nan 2.275000e+00 6.650000e+00
nan nan 2.275000e+00 6.750000e+00
nan nan 2.275000e+00 6.850000e+00
nan nan 2.275000e+00 6.950000e+00
2.754940e+01 1.115436e+00 2.325000e+00 5.000000e-02
7.150821e+00 5.855980e-01 2.325000e+00 1.500000e-01
1.025679e+00 2.138692e-01 2.325000e+00 2.500000e-01
8.869187e-01 2.034735e-01 2.325000e+00 3.500000e-01
3.757125e-01 1.328346e-01 2.325000e+00 4.500000e-01
2.749511e-01 1.122484e-01 2.325000e+00 5.500000e-01
8.929799e-02 1.261708e-01 2.325000e+00 6.500000e-01
2.058581e-01 9.206266e-02 2.325000e+00 7.500000e-01
4.059938e-02 4.059939e-02 2.325000e+00 8.500000e-01
1.149239e-01 6.635144e-02 2.325000e+00 9.500000e-01
2.211839e-01 9.029814e-02 2.325000e+00 1.050000e+00
1.073871e-01 6.200017e-02 2.325000e+00 1.150000e+00
6.742060e-02 8.255289e-02 2.325000e+00 1.250000e+00
6.640379e-02 6.652513e-02 2.325000e+00 1.350000e+00
9.385077e-02 5.418493e-02 2.325000e+00 1.450000e+00
9.059676e-02 9.061915e-02 2.325000e+00 1.550000e+00
8.828079e-02 5.096896e-02 2.325000e+00 1.650000e+00
2.856090e-02 2.856090e-02 2.325000e+00 1.750000e+00
2.619508e-06 5.741945e-02 2.325000e+00 1.850000e+00
2.894962e-02 6.405408e-02 2.325000e+00 1.950000e+00
5.709423e-02 5.724951e-02 2.325000e+00 2.050000e+00
-5.706559e-02 4.035150e-02 2.325000e+00 2.150000e+00
1.140327e-01 5.701657e-02 2.325000e+00 2.250000e+00
2.853365e-02 2.853365e-02 2.325000e+00 2.350000e+00
2.886054e-02 6.478101e-02 2.325000e+00 2.450000e+00
2.963861e-02 9.692040e-02 2.325000e+00 2.550000e+00
8.698577e-02 8.739942e-02 2.325000e+00 2.650000e+00
0.000000e+00 0.000000e+00 2.325000e+00 2.750000e+00
-2.296239e-04 5.810220e-02 2.325000e+00 2.850000e+00
