# Intensity Error [0,-0.5K,0] DeltaE
#  shape: 34x70
0.000000e+00 0.000000e+00 -1.925000e+00 3.550000e+00
1.130750e-01 1.130750e-01 -1.925000e+00 3.650000e+00
9.383045e-02 9.383046e-02 -1.925000e+00 3.750000e+00
0.000000e+00 0.000000e+00 -1.925000e+00 3.850000e+00
1.001053e-01 1.001053e-01 -1.925000e+00 3.950000e+00
1.970562e-01 1.393398e-01 -1.925000e+00 4.050000e+00
2.892550e-04 1.768600e-01 -1.925000e+00 4.150000e+00
-9.132543e-02 1.576105e-01 -1.925000e+00 4.250000e+00
1.129689e-01 1.129688e-01 -1.925000e+00 4.350000e+00
1.973788e-01 1.395681e-01 -1.925000e+00 4.450000e+00
9.245912e-02 9.245911e-02 -1.925000e+00 4.550000e+00
8.193449e-04 1.551487e-01 -1.925000e+00 4.650000e+00
4.276187e-04 1.132968e-01 -1.925000e+00 4.750000e+00
-1.025252e-01 1.025252e-01 -1.925000e+00 4.850000e+00
-7.514908e-02 7.514908e-02 -1.925000e+00 4.950000e+00
-8.937028e-02 8.937028e-02 -1.925000e+00 5.050000e+00
-1.200396e-03 1.058690e-01 -1.925000e+00 5.150000e+00
8.495688e-02 8.495689e-02 -1.925000e+00 5.250000e+00
-7.897560e-02 1.374051e-01 -1.925000e+00 5.350000e+00
-3.825159e-04 1.759330e-01 -1.925000e+00 5.450000e+00
-1.670001e-01 1.180876e-01 -1.925000e+00 5.550000e+00
9.585598e-02 9.585598e-02 -1.925000e+00 5.650000e+00
-4.801206e-03 1.879622e-01 -1.925000e+00 5.750000e+00
8.336340e-02 2.355149e-01 -1.925000e+00 5.850000e+00
-1.439952e-01 1.429502e-01 -1.925000e+00 5.950000e+00
-8.822950e-02 1.918978e-01 -1.925000e+00 6.050000e+00
1.357713e-03 2.396870e-01 -1.925000e+00 6.150000e+00
6.787430e-02 2.095436e-01 -1.925000e+00 6.250000e+00
-2.478770e-04 2.568059e-01 -1.925000e+00 6.350000e+00
-1.466350e-01 3.297197e-01 -1.925000e+00 6.450000e+00
-2.849821e-01 3.591993e-01 -1.925000e+00 6.550000e+00
-5.191835e-01 3.805633e-01 -1.925000e+00 6.650000e+00
2.191652e-01 2.058753e-01 -1.925000e+00 6.750000e+00
0.000000e+00 0.000000e+00 -1.925000e+00 6.850000e+00
0.000000e+00 0.000000e+00 -1.925000e+00 6.950000e+00
1.999497e+01 1.482128e+00 -1.895000e+00 5.000000e-02
6.234178e+00 8.557674e-01 -1.895000e+00 1.500000e-01
2.345126e+00 4.599179e-01 -1.895000e+00 2.500000e-01
5.374833e-01 2.194270e-01 -1.895000e+00 3.500000e-01
5.298073e-01 2.369372e-01 -1.895000e+00 4.500000e-01
4.989536e-01 2.231390e-01 -1.895000e+00 5.500000e-01
1.715747e-01 1.213219e-01 -1.895000e+00 6.500000e-01
9.747906e-02 9.747907e-02 -1.895000e+00 7.500000e-01
2.179337e-01 1.541025e-01 -1.895000e+00 8.500000e-01
1.740804e-01 1.230939e-01 -1.895000e+00 9.500000e-01
1.821111e-01 1.287721e-01 -1.895000e+00 1.050000e+00
1.083147e-01 1.889115e-01 -1.895000e+00 1.150000e+00
4.909474e-01 2.195587e-01 -1.895000e+00 1.250000e+00
6.443803e-01 2.435534e-01 -1.895000e+00 1.350000e+00
1.447008e+00 4.013289e-01 -1.895000e+00 1.450000e+00
