# Intensity Error [0.5H,-0.5H,0] DeltaE
#  shape: 34x70
nan nan -1.925000e+00 4.750000e+00
nan nan -1.925000e+00 4.850000e+00
nan nan -1.925000e+00 4.950000e+00
nan nan -1.925000e+00 5.050000e+00
nan nan -1.925000e+00 5.150000e+00
nan nan -1.925000e+00 5.250000e+00
nan nan -1.925000e+00 5.350000e+00
nan nan -1.925000e+00 5.450000e+00
nan nan -1.925000e+00 5.550000e+00
nan nan -1.925000e+00 5.650000e+00
nan nan -1.925000e+00 5.750000e+00
nan nan -1.925000e+00 5.850000e+00
nan nan -1.925000e+00 5.950000e+00
nan nan -1.925000e+00 6.050000e+00
nan nan -1.925000e+00 6.150000e+00
nan nan -1.925000e+00 6.250000e+00
nan nan -1.925000e+00 6.350000e+00
nan nan -1.925000e+00 6.450000e+00
nan nan -1.925000e+00 6.550000e+00
nan nan -1.925000e+00 6.650000e+00
nan nan -1.925000e+00 6.750000e+00
nan nan -1.925000e+00 6.850000e+00
nan nan -1.925000e+00 6.950000e+00
2.116404e+01 7.558597e-01 -1.895000e+00 5.000000e-02
5.747717e+00 3.757406e-01 -1.895000e+00 1.500000e-01
1.226732e+00 1.769372e-01 -1.895000e+00 2.500000e-01
5.275484e-01 1.124739e-01 -1.895000e+00 3.500000e-01
3.644518e-01 9.410123e-02 -1.895000e+00 4.500000e-01
5.087092e-01 1.110097e-01 -1.895000e+00 5.500000e-01
2.158988e-01 7.196646e-02 -1.895000e+00 6.500000e-01
3.923420e-01 1.039784e-01 -1.895000e+00 7.500000e-01
6.446693e-01 1.240669e-01 -1.895000e+00 8.500000e-01
2.930872e-01 9.134320e-02 -1.895000e+00 9.500000e-01
3.123934e-01 8.664253e-02 -1.895000e+00 1.050000e+00
2.445290e-01 7.732699e-02 -1.895000e+00 1.150000e+00
1.284966e-01 8.544586e-02 -1.895000e+00 1.250000e+00
1.542528e-01 7.272955e-02 -1.895000e+00 1.350000e+00
1.888169e-01 7.136618e-02 -1.895000e+00 1.450000e+00
3.054366e-01 9.209283e-02 -1.895000e+00 1.550000e+00
1.402535e-01 7.413669e-02 -1.895000e+00 1.650000e+00
3.184917e-01 9.602921e-02 -1.895000e+00 1.750000e+00
1.142651e-01 7.004859e-02 -1.895000e+00 1.850000e+00
2.589151e-01 8.630525e-02 -1.895000e+00 1.950000e+00
1.119072e-01 7.918655e-02 -1.895000e+00 2.050000e+00
5.334614e-02 3.772150e-02 -1.895000e+00 2.150000e+00
1.056998e-01 6.476888e-02 -1.895000e+00 2.250000e+00
1.278481e-01 5.717568e-02 -1.895000e+00 2.350000e+00
1.741258e-01 6.581364e-02 -1.895000e+00 2.450000e+00
2.523965e-02 6.593988e-02 -1.895000e+00 2.550000e+00
7.836943e-02 6.891936e-02 -1.895000e+00 2.650000e+00
1.108238e-01 5.541232e-02 -1.895000e+00 2.750000e+00
1.788553e-01 8.431096e-02 -1.895000e+00 2.850000e+00
3.181347e-02 3.181347e-02 -1.895000e+00 2.950000e+00
3.529312e-02 6.095278e-02 -1.895000e+00 3.050000e+00
7.960798e-02 5.629135e-02 -1.895000e+00 3.150000e+00
4.489051e-02 7.699419e-02 -1.895000e+00 3.250000e+00
1.982238e-01 9.911206e-02 -1.895000e+00 3.350000e+00
1.189899e-01 1.190165e-01 -1.895000e+00 3.450000e+00
0.000000e+00 0.000000e+00 -1.895000e+00 3.550000e+00
9.187359e-02 9.187359e-02 -1.895000e+00 3.650000e+00
3.844372e-01 2.219558e-01 -1.895000e+00 3.750000e+00
2.225314e-01 2.225314e-01 -1.895000e+00 3.850000e+00
0.000000e+00 0.000000e+00 -1.895000e+00 3.950000e+00
nan nan -1.895000e+00 4.050000e+00
nan nan -1.895000e+00 4.150000e+00
nan nan -1.895000e+00 4.250000e+00
nan nan -1.895000e+00 4.350000e+00
nan nan -1.895000e+00 4.450000e+00
nan nan -1.895000e+00 4.550000e+00
nan nan -1.895000e+00 4.650000e+00
nan nan -1.895000e+00 4.750000e+00
nan nan -1.895000e+00 4.850000e+00
nan nan -1.895000e+00 4.950000e+00
nan nan -1.895000e+00 5.050000e+00
nan nan -1.895000e+00 5.150000e+00
nan nan -1.895000e+00 5.250000e+00
nan nan -1.895000e+00 5.350000e+00
nan nan -1.895000e+00 5.450000e+00
nan nan -1.895000e+00 5.550000e+00
nan nan -1.895000e+00 5.650000e+00
nan nan -1.895000e+00 5.750000e+00
nan nan -1.895000e+00 5.850000e+00
nan nan -1.895000e+00 5.950000e+00
nan nan -1.895000e+00 6.050000e+00
nan nan -1.895000e+00 6.150000e+00
nan nan -1.895000e+00 6.250000e+00
nan nan -1.895000e+00 6.350000e+00
nan nan -1.895000e+00 6.450000e+00
nan nan -1.895000e+00 6.550000e+00
nan nan -1.895000e+00 6.650000e+00
nan nan -1.895000e+00 6.750000e+00
nan nan -1.895000e+00 6.850000e+00
nan nan -1.895000e+00 6.950000e+00
1.962876e+01 7.424292e-01 -1.865000e+00 5.000000e-02
5.977902e+00 4.175154e-01 -1.865000e+00 1.500000e-01
1.079897e+00 1.775342e-01 -1.865000e+00 2.500000e-01
4.470240e-01 1.185636e-01 -1.865000e+00 3.500000e-01
4.309683e-01 1.077423e-01 -1.865000e+00 4.500000e-01
2.830568e-01 9.273875e-02 -1.865000e+00 5.500000e-01
2.974976e-01 8.588030e-02 -1.865000e+00 6.500000e-01
3.299757e-01 9.425051e-02 -1.865000e+00 7.500000e-01
3.086731e-01 8.561073e-02 -1.865000e+00 8.500000e-01
3.569796e-01 9.217198e-02 -1.865000e+00 9.500000e-01
3.521590e-01 9.092726e-02 -1.865000e+00 1.050000e+00
3.583724e-01 9.253158e-02 -1.865000e+00 1.150000e+00
2.104317e-01 9.066533e-02 -1.865000e+00 1.250000e+00
3.081726e-01 8.547191e-02 -1.865000e+00 1.350000e+00
2.124224e-01 7.080766e-02 -1.865000e+00 1.450000e+00
1.630303e-01 6.161970e-02 -1.865000e+00 1.550000e+00
1.911894e-01 7.552336e-02 -1.865000e+00 1.650000e+00
1.661882e-01 7.124760e-02 -1.865000e+00 1.750000e+00
1.976727e-01 7.806433e-02 -1.865000e+00 1.850000e+00
1.269062e-01 5.675436e-02 -1.865000e+00 1.950000e+00
5.033778e-02 5.046913e-02 -1.865000e+00 2.050000e+00
2.099399e-01 7.422511e-02 -1.865000e+00 2.150000e+00
5.439616e-02 5.439050e-02 -1.865000e+00 2.250000e+00
1.878608e-01 8.047084e-02 -1.865000e+00 2.350000e+00
2.474501e-01 8.248364e-02 -1.865000e+00 2.450000e+00
1.128743e-01 6.917073e-02 -1.865000e+00 2.550000e+00
1.190934e-01 8.408387e-02 -1.865000e+00 2.650000e+00
9.615212e-02 7.165813e-02 -1.865000e+00 2.750000e+00
1.022943e-01 5.905984e-02 -1.865000e+00 2.850000e+00
3.616527e-02 3.616527e-02 -1.865000e+00 2.950000e+00
-5.117421e-04 7.922392e-02 -1.865000e+00 3.050000e+00
1.287670e-01 9.607595e-02 -1.865000e+00 3.150000e+00
9.396225e-02 9.411292e-02 -1.865000e+00 3.250000e+00
-9.705701e-05 7.560014e-02 -1.865000e+00 3.350000e+00
6.315750e-02 6.315750e-02 -1.865000e+00 3.450000e+00
7.442423e-02 7.442423e-02 -1.865000e+00 3.550000e+00
0.000000e+00 0.000000e+00 -1.865000e+00 3.650000e+00
0.000000e+00 0.000000e+00 -1.865000e+00 3.750000e+00
0.000000e+00 0.000000e+00 -1.865000e+00 3.850000e+00
0.000000e+00 0.000000e+00 -1.865000e+00 3.950000e+00
nan nan -1.865000e+00 4.050000e+00
nan nan -1.865000e+00 4.150000e+00
nan nan -1.865000e+00 4.250000e+00
nan nan -1.865000e+00 4.350000e+00
nan nan -1.865000e+00 4.450000e+00
nan nan -1.865000e+00 4.550000e+00
nan nan -1.865000e+00 4.650000e+00
nan nan -1.865000e+00 4.750000e+00
nan nan -1.865000e+00 4.850000e+00
nan nan -1.865000e+00 4.950000e+00
nan nan -1.865000e+00 5.050000e+00
nan nan -1.865000e+00 5.150000e+00
nan nan -1.865000e+00 5.250000e+00
nan nan -1.865000e+00 5.350000e+00
nan nan -1.865000e+00 5.450000e+00
nan nan -1.865000e+00 5.550000e+00
nan nan -1.865000e+00 5.650000e+00
nan nan -1.865000e+00 5.750000e+00
nan nan -1.865000e+00 5.850000e+00
nan nan -1.865000e+00 5.950000e+00
nan nan -1.865000e+00 6.050000e+00
nan nan -1.865000e+00 6.150000e+00
nan nan -1.865000e+00 6.250000e+00
