# Intensity Error [0.5H,0,0] DeltaE
#  shape: 34x70
-1.807777e-01 1.278313e-01 7.500000e-02 4.150000e+00
1.241710e-01 7.629592e-02 7.500000e-02 4.250000e+00
2.107755e-01 1.296189e-01 7.500000e-02 4.350000e+00
2.871238e-01 1.085236e-01 7.500000e-02 4.450000e+00
7.287994e-02 5.153477e-02 7.500000e-02 4.550000e+00
-1.013707e-01 1.018789e-01 7.500000e-02 4.650000e+00
-3.508578e-04 7.924538e-02 7.500000e-02 4.750000e+00
-1.151594e-04 7.242760e-02 7.500000e-02 4.850000e+00
5.422439e-04 6.675255e-02 7.500000e-02 4.950000e+00
9.188061e-02 6.496947e-02 7.500000e-02 5.050000e+00
3.478901e-02 9.307491e-02 7.500000e-02 5.150000e+00
4.105952e-02 8.934461e-02 7.500000e-02 5.250000e+00
-1.053802e-01 7.853899e-02 7.500000e-02 5.350000e+00
3.979317e-02 8.640040e-02 7.500000e-02 5.450000e+00
1.000750e-01 1.098988e-01 7.500000e-02 5.550000e+00
2.189129e-01 1.151334e-01 7.500000e-02 5.650000e+00
-6.173690e-02 1.099857e-01 7.500000e-02 5.750000e+00
-1.366861e-01 1.662746e-01 7.500000e-02 5.850000e+00
-6.179992e-02 1.149604e-01 7.500000e-02 5.950000e+00
-3.172384e-02 1.650368e-01 7.500000e-02 6.050000e+00
4.812786e-01 1.804405e-01 7.500000e-02 6.150000e+00
-5.243472e-02 2.455482e-01 7.500000e-02 6.250000e+00
4.676800e-01 3.116399e-01 7.500000e-02 6.350000e+00
3.312384e-01 4.003978e-01 7.500000e-02 6.450000e+00
0.000000e+00 0.000000e+00 7.500000e-02 6.550000e+00
nan nan 7.500000e-02 6.650000e+00
nan nan 7.500000e-02 6.750000e+00
nan nan 7.500000e-02 6.850000e+00
nan nan 7.500000e-02 6.950000e+00
1.856630e+01 9.895886e-01 1.050000e-01 5.000000e-02
6.487371e+00 5.522426e-01 1.050000e-01 1.500000e-01
8.223852e-01 2.108642e-01 1.050000e-01 2.500000e-01
3.527773e-01 1.333374e-01 1.050000e-01 3.500000e-01
5.298227e-01 1.597477e-01 1.050000e-01 4.500000e-01
2.945763e-01 1.389981e-01 1.050000e-01 5.500000e-01
9.640056e-02 9.612509e-02 1.050000e-01 6.500000e-01
9.719637e-02 6.872823e-02 1.050000e-01 7.500000e-01
5.136344e-02 5.136344e-02 1.050000e-01 8.500000e-01
1.342862e-01 7.753030e-02 1.050000e-01 9.500000e-01
4.831215e-02 4.831215e-02 1.050000e-01 1.050000e+00
-1.897320e-04 7.920526e-02 1.050000e-01 1.150000e+00
8.335038e-02 5.893763e-02 1.050000e-01 1.250000e+00
1.411847e-01 8.151306e-02 1.050000e-01 1.350000e+00
0.000000e+00 0.000000e+00 1.050000e-01 1.450000e+00
-1.800751e-04 5.753812e-02 1.050000e-01 1.550000e+00
9.348674e-02 6.610518e-02 1.050000e-01 1.650000e+00
6.032745e-02 6.032745e-02 1.050000e-01 1.750000e+00
1.234213e-01 7.125752e-02 1.050000e-01 1.850000e+00
9.679248e-02 6.844282e-02 1.050000e-01 1.950000e+00
1.068800e-01 7.557559e-02 1.050000e-01 2.050000e+00
0.000000e+00 0.000000e+00 1.050000e-01 2.150000e+00
1.019126e-01 7.206306e-02 1.050000e-01 2.250000e+00
2.205085e-01 9.861468e-02 1.050000e-01 2.350000e+00
0.000000e+00 0.000000e+00 1.050000e-01 2.450000e+00
0.000000e+00 0.000000e+00 1.050000e-01 2.550000e+00
7.814315e-02 5.525570e-02 1.050000e-01 2.650000e+00
7.074435e-02 7.074434e-02 1.050000e-01 2.750000e+00
1.080219e-01 6.236662e-02 1.050000e-01 2.850000e+00
4.465443e-02 4.465443e-02 1.050000e-01 2.950000e+00
1.688925e-01 1.194250e-01 1.050000e-01 3.050000e+00
5.534472e-02 6.754509e-02 1.050000e-01 3.150000e+00
0.000000e+00 0.000000e+00 1.050000e-01 3.250000e+00
8.057841e-02 5.697755e-02 1.050000e-01 3.350000e+00
-3.209558e-02 3.209558e-02 1.050000e-01 3.450000e+00
0.000000e+00 0.000000e+00 1.050000e-01 3.550000e+00
1.422615e-01 5.807846e-02 1.050000e-01 3.650000e+00
0.000000e+00 0.000000e+00 1.050000e-01 3.750000e+00
1.161082e-01 6.703512e-02 1.050000e-01 3.850000e+00
1.062901e-01 6.136729e-02 1.050000e-01 3.950000e+00
9.106568e-02 1.577422e-01 1.050000e-01 4.050000e+00
2.389148e-01 1.029841e-01 1.050000e-01 4.150000e+00
-5.485429e-05 1.197859e-01 1.050000e-01 4.250000e+00
-3.275669e-02 3.275669e-02 1.050000e-01 4.350000e+00
-4.783645e-02 8.255807e-02 1.050000e-01 4.450000e+00
-1.556603e-04 6.132677e-02 1.050000e-01 4.550000e+00
6.985275e-04 8.455276e-02 1.050000e-01 4.650000e+00
1.029777e-01 7.281651e-02 1.050000e-01 4.750000e+00
1.281763e-01 1.021125e-01 1.050000e-01 4.850000e+00
3.375363e-04 1.223723e-01 1.050000e-01 4.950000e+00
-1.346056e-01 1.060179e-01 1.050000e-01 5.050000e+00
4.366009e-02 9.837575e-02 1.050000e-01 5.150000e+00
3.529622e-02 7.754595e-02 1.050000e-01 5.250000e+00
-1.982025e-01 1.190185e-01 1.050000e-01 5.350000e+00
6.817724e-02 8.298719e-02 1.050000e-01 5.450000e+00
7.619067e-02 1.078916e-01 1.050000e-01 5.550000e+00
1.296691e-01 1.212053e-01 1.050000e-01 5.650000e+00
2.127176e-01 1.330759e-01 1.050000e-01 5.750000e+00
9.466238e-02 1.039401e-01 1.050000e-01 5.850000e+00
-2.873416e-02 1.032782e-01 1.050000e-01 5.950000e+00
2.569429e-01 1.506033e-01 1.050000e-01 6.050000e+00
-3.715993e-02 1.916600e-01 1.050000e-01 6.150000e+00
1.938893e-03 1.616881e-01 1.050000e-01 6.250000e+00
6.563284e-02 2.249498e-01 1.050000e-01 6.350000e+00
2.139518e-01 3.398143e-01 1.050000e-01 6.450000e+00
